"S.c","I.c","R.c","S.m","I.m","R.m","V7","V8","V9"
1.75801363443456e+25,1.24760866250655e+25,1.96597392852082e+24,2.28706158115469e+25,4.140033821817e+23,3.43600224098917e+24,3.2626619766381e+24,1.95008140596297e+25,1.56059759616355e+25
2.24005938472251e+25,1.98886420935115e+25,4.31560727478317e+24,6.18633138117959e+23,1.55757889503583e+25,1.40184633292526e+25,3.84015809436982e+24,4.90551729582479e+24,2.10194265263275e+25
7.14288369491373e+24,2.09136421229224e+25,7.76064459177999e+23,1.73926133092031e+24,8.67247357809931e+24,2.11756901672304e+25,1.9330293066867e+25,8.99213325193691e+24,4.2791766923266e+24
2.26434966557771e+25,2.21805166268278e+25,2.07674016504153e+25,2.36627095191885e+25,1.10302270936269e+25,1.0729809788185e+25,2.64388288753354e+24,1.37677821056036e+25,2.30284620511791e+25
1.43695902709517e+25,2.61130865053862e+25,2.41503239931145e+25,9.03393874167222e+24,2.43121295867059e+25,1.35969571757651e+25,3.62493547676713e+24,6.96069305699154e+23,1.74005489065577e+25
8.64464033965479e+24,2.20357681028394e+25,4.7658321097138e+24,1.95631761650745e+25,3.31057964354962e+24,6.60017991697993e+24,6.99852840164825e+24,1.78984456323244e+25,2.57162601730319e+25
7.22671200836949e+23,5.81108791592152e+24,2.94839856225568e+24,2.44543265878456e+24,8.00901629122039e+24,7.43207253035205e+24,1.38767250441888e+25,1.24493205879112e+25,4.98660992830853e+24
2.37470650530619e+25,5.74412989679629e+24,2.61561965033137e+25,2.0814502148162e+25,2.51402190816351e+25,1.86337076122605e+25,1.49476524364345e+25,2.29111224350691e+25,1.27712618909586e+25
1.90488642428146e+25,2.4821796107261e+25,2.00788975891863e+25,2.06194017059658e+25,2.46836797043072e+25,1.12258325427558e+25,1.69035323089138e+25,4.39260614613545e+24,2.10530053644115e+25
1.17398720083392e+25,1.48154982471177e+25,2.15699091462542e+25,3.16300824789107e+24,2.5849659013141e+25,8.47265617680524e+24,5.57935857225491e+24,2.17203582364564e+25,1.04627896174128e+24
2.317211020154e+25,1.19527463737075e+25,2.18150254849304e+25,1.25193499235121e+24,1.60728835656326e+25,4.22064910055933e+24,1.72544822940333e+25,1.51411311642815e+25,2.40631397027998e+25
2.16395616410576e+25,1.5436452083102e+25,1.8512183790781e+25,6.76765378236949e+24,1.62330895063866e+25,2.23222084661823e+25,1.08359922390795e+25,2.87384933508828e+24,2.37952521429591e+25
4.87532763923254e+24,2.48666956150826e+25,1.81206267875652e+25,1.15433132468628e+25,1.2286205567021e+25,5.96226654083135e+24,1.64797208512694e+25,1.26037774888309e+24,1.41542804427708e+25
4.45998803268436e+24,9.74955101585206e+23,1.1001379549819e+25,1.52126214660761e+25,6.28444200828911e+24,6.87566785252271e+24,2.32574354364656e+25,1.27446404478938e+25,4.60715361586556e+24
1.40783750240231e+24,3.90079701077608e+24,2.06761602536521e+25,1.37757252532258e+25,2.13213299220057e+25,7.4525884108508e+24,1.92011424216308e+25,2.28888045436492e+25,4.61884859411811e+24
9.17738058116979e+23,5.11144371481675e+24,1.1158369819001e+25,1.77592358485446e+25,7.23671392518745e+24,1.04232060156464e+25,1.06613512523126e+25,2.47816295582809e+25,9.19459160466086e+24
1.0005262133769e+25,1.54048636804589e+25,1.55875643167841e+25,7.34858605341167e+24,1.21155717761826e+25,7.71363441095572e+24,2.16205565034747e+25,2.12360490220009e+25,3.20314901781569e+24
1.18383314619131e+25,2.5787065038812e+25,1.86279537701779e+24,1.4776856484875e+25,1.10805532885907e+25,1.8053496528231e+25,2.48852251524742e+25,6.68343512972162e+24,6.50340141618793e+23
2.09932542698219e+24,1.21469593139724e+25,8.84377688385165e+24,1.33899587099666e+25,6.11359512968889e+24,1.13848525918333e+25,2.20657682456176e+25,1.56790140923377e+25,5.5764731773602e+24
2.1777016088058e+25,1.82047604463596e+25,1.66547889308107e+24,2.55449254424418e+25,1.53094687952304e+25,2.50980771040063e+25,6.18499793012175e+24,1.84161841163682e+25,1.5852991326685e+25
1.46818218767856e+25,1.70804624535226e+25,7.16123685025943e+24,1.49218803317113e+25,6.47626394345708e+24,2.23492195600685e+25,5.54937432805658e+24,1.42808758315259e+25,3.66803961265144e+24
1.36358499922733e+25,8.7411856508661e+24,2.08045047158037e+25,3.58298877473972e+24,1.29968125051258e+25,1.71251525719208e+25,1.21602183561166e+25,1.54606923096156e+25,2.34346455991985e+25
2.42760428542613e+25,5.4959217638774e+24,5.09267655308025e+24,1.20170334738642e+24,2.31314431049313e+25,6.31919919575259e+24,8.02589992372604e+24,2.47152346324912e+24,2.5992361657885e+24
