"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
7.45941405142652e+46,2.68811776858746e+43,0,2.57230990693935e+45,0,0,0.00036023599082903,0,1001,0.0360235990829025,0,0.00036023599082903,0
1.5996439045555e+47,2.68811776858746e+43,0,2.49352790985542e+45,0,0,0.000168016526223361,0,1001,0.0168016526223367,0,0.000168016526223362,0
1.48817699157162e+47,2.68811776858746e+43,0,8.40042986551515e+44,0,0,0.000180598968571118,0,1001,0.0180598968571122,0,0.000180598968571119,0
7.65604590602173e+46,2.68811776858746e+43,0,1.75594984889338e+45,0,0,0.000350987220634292,0,1001,0.0350987220634291,0,0.000350987220634293,0
8.65483217739135e+46,2.68811776858746e+43,0,2.47148788600358e+45,0,0,0.000310495116031119,0,1001,0.0310495116031122,0,0.00031049511603112,0
1.2292653726246e+47,2.68811776858746e+43,0,7.67465319580396e+44,0,0,0.000218628957428788,0,1001,0.0218628957428786,0,0.000218628957428788,0
1.72025967129244e+47,2.68811776858746e+43,0,7.37318779174802e+44,0,0,0.000156237911492872,0,1001,0.0156237911492871,0,0.000156237911492872,0
2.13497248342899e+47,2.68811776858746e+43,0,1.88909752778057e+45,0,0,0.000125892927165794,0,1001,0.0125892927165792,0,0.000125892927165794,0
1.30560126924156e+47,2.68811776858746e+43,0,7.47036495895478e+44,0,0,0.000205848790600291,0,1001,0.0205848790600287,0,0.000205848790600292,0
2.68624819875307e+46,2.68811776858746e+43,0,2.69298567245535e+44,0,0,0.000999695586716139,0,1001,0.0999695586716136,0,0.000999695586716141,0
1.3198938631613e+47,2.68811776858746e+43,0,1.77019326295232e+45,0,0,0.000203620191633836,0,1001,0.0203620191633833,0,0.000203620191633836,0
1.98666493844054e+47,2.68811776858746e+43,0,4.49609262830294e+44,0,0,0.000135289753284091,0,1001,0.0135289753284091,0,0.000135289753284091,0
1.82743246310878e+47,2.68811776858746e+43,0,1.78169672151817e+45,0,0,0.0001470764290382,0,1001,0.01470764290382,0,0.0001470764290382,0
1.34087015010375e+47,2.68811776858746e+43,0,2.64210234439138e+45,0,0,0.000200435439204454,0,1001,0.0200435439204458,0,0.000200435439204455,0
1.52437741988674e+46,2.68811776858746e+43,0,2.35683357010684e+45,0,0,0.0017603159146102,0,1001,0.176031591461019,0,0.0017603159146102,0
1.68834232084497e+47,2.68811776858746e+43,0,4.85480734629442e+44,0,0,0.000159191048587589,0,1001,0.0159191048587588,0,0.00015919104858759,0
1.50744914923001e+47,2.68811776858746e+43,0,1.93529846249045e+45,0,0,0.000178290491863101,0,1001,0.01782904918631,0,0.000178290491863101,0
1.06314674198899e+47,2.68811776858746e+43,0,6.74916740877702e+44,0,0,0.000252781498170502,0,1001,0.0252781498170505,0,0.000252781498170502,0
1.11053509936182e+47,2.68811776858746e+43,0,2.32285207625463e+45,0,0,0.000241997506637502,0,1001,0.0241997506637501,0,0.000241997506637502,0
1.41729467983787e+47,2.68811776858746e+43,0,1.15337078830597e+45,0,0,0.000189629444076996,0,1001,0.0189629444076997,0,0.000189629444076996,0
1.55239392620558e+46,2.68811776858746e+43,0,3.29340977315196e+44,0,0,0.00172860189531718,0,1001,0.172860189531718,0,0.00172860189531718,0
1.51362996973319e+47,2.68811776858746e+43,0,1.68297173089189e+45,0,0,0.000177562582216109,0,1001,0.0177562582216106,0,0.000177562582216109,0
6.99697957999287e+46,2.68811776858746e+43,0,2.61570158352172e+45,0,0,0.000384035054899411,0,1001,0.0384035054899421,0,0.000384035054899412,0
1.3893602285515e+47,2.68811776858746e+43,0,1.00657653106201e+45,0,0,0.000193441392672125,0,1001,0.0193441392672122,0,0.000193441392672125,0
