"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
527.982026878115,2.17998451680367e-08,0.000321933617445413,119.169295692367,3.45603332730562e-08,6.1460113548838e-06,4.1288965845542e-11,2.90010369532125e-10,2001,0.00129879934146198,0.000122902460498477,0.00143392757364137,3.9450682905155e-05
903.021150113117,8.86700977359213e-05,0.000126396643661922,289.207408328716,7.34365813223872e-05,0.000121743240118016,9.81926908432122e-08,2.53923411526832e-07,2001,0.000972659996240306,0.000295067250937295,0.00115647908726941,5.21009978939194e-05
477.186423197058,6.24214745758076e-07,0.000390290566549798,554.832865007931,4.23408873629969e-06,0.000993678689132219,1.30811398659431e-09,7.63127310581038e-09,2001,0.000797555892928112,0.000416756196697163,0.00188556908974707,0.000131155895192354
112.815731933157,0.000150447513695475,0.0031706946147177,131.766634611079,0.00607655114355985,0.00142192935711752,1.33352930728004e-06,4.61133835677508e-05,2001,0.00983232811828683,0.00415568718109416,0.00914862586779858,0.000428082205370053
548.17158725598,1.9017562958137e-09,1.35102208313404e-08,288.669889587763,2.71730298437989e-08,1.47682456723107e-06,3.46927192137043e-12,9.41318463835261e-11,2001,0.000660466548617471,0.000233182373843337,0.00187033351982272,0.000105132562487762
819.873990800724,9.89178604252026e-06,0.000719076213749768,379.441765428583,0.000336748571233927,6.44692586718058e-05,1.2064997009922e-08,8.8748326051946e-07,2001,0.00110426229150332,0.000752321638954417,0.0012416285519851,0.000134449668190143
738.294692344287,7.18253901666606e-05,0.00795693465244172,163.719324148627,3.63114444174769e-06,0.00816404036319068,9.72844716855797e-08,2.21779763519296e-08,2001,0.00277436152286054,0.000168174440328555,0.00135096827493315,3.38025848945131e-05
466.257399115448,0.000125213460392972,5.37596223711372e-05,572.669922048354,0.000605713615316583,0.000830133589712406,2.68549973828408e-07,1.05769846346506e-06,2001,0.00153214429621658,0.000591218370685126,0.00184036693740308,9.31760415021278e-05
60.1032504318727,1.91909387762333e-07,1.0899230919355e-05,703.723864736043,3.07047775613251e-06,0.00043954706898157,3.19299457133209e-09,4.36318274649242e-09,2001,0.0205976949169466,0.00291051462912739,0.0161396383457139,0.000864453005778148
675.861697405257,9.71878789207287e-07,0.000211926515246738,472.426370644056,2.74760894872314e-06,0.00487160561907472,1.43798426038041e-09,5.81589168332618e-09,2001,0.000962798663998315,0.000403291435831357,0.00146008747206524,0.000113405142128248
617.1621136247,6.29760589250679e-06,4.22479546515605e-06,114.788737057376,2.21446198676359e-06,1.45804039340118e-05,1.02041354226167e-08,1.92916284256738e-08,2001,0.00182060489192931,0.000189661187444297,0.00163714509752319,4.11826738535374e-05
460.442786292728,5.04872720224011e-05,0.00015263996807551,302.120344005094,0.000503802934265897,0.00871349633962715,1.09649344614848e-07,1.66750625821206e-06,2001,0.00282440229315992,0.00139299340775706,0.00231974521246769,0.000228606260382683
441.013816095695,0.0170452952978555,0.00921445886298552,229.80444175977,0.0304668577572741,0.239574699259504,3.86479511300881e-05,0.000132421715429105,2001,0.0048762093410466,0.00544936313509714,0.00221762565325092,0.000404052568823686
517.051652961803,3.46212738630367e-06,2.65019583330096e-06,119.133192017348,0.000238077293285056,1.49900465098575e-05,6.69590228663657e-09,1.9984085335215e-06,2001,0.00150623762319121,0.000311598186815851,0.00173882831374524,4.02876935358862e-05
